frame,t,x1,y1,x2,y2,cx,cy,conf,cls,width,height,fps,time_mode
53,0.8842869012803652,329.3512878417969,415.6481628417969,561.9483032226562,645.8836669921875,445.64979553222656,530.7659149169922,0.817362368106842,32.0,1920,1080,59.93529919222022,cfr
54,0.9009715597950891,346.1463623046875,416.39190673828125,578.3402709960938,647.3671875,462.2433166503906,531.8795471191406,0.7851852774620056,32.0,1920,1080,59.93529919222022,cfr
55,0.917656218309813,363.8482666015625,417.1502380371094,596.0933837890625,649.769775390625,479.9708251953125,533.4600067138672,0.7396432161331177,32.0,1920,1080,59.93529919222022,cfr
56,0.9343408768245369,381.98345947265625,419.0980529785156,613.553466796875,650.2496337890625,497.7684631347656,534.6738433837891,0.7368402481079102,32.0,1920,1080,59.93529919222022,cfr
57,0.9510255353392608,402.585205078125,420.9805603027344,633.851806640625,652.9092407226562,518.218505859375,536.9449005126953,0.5669607520103455,29.0,1920,1080,59.93529919222022,cfr
58,0.9677101938539847,422.6705017089844,422.8420715332031,652.8609008789062,655.7890014648438,537.7657012939453,539.3155364990234,0.7824651002883911,32.0,1920,1080,59.93529919222022,cfr
59,0.9843948523687085,443.9466552734375,424.8724670410156,672.36767578125,656.8128662109375,558.1571655273438,540.8426666259766,0.7008671164512634,32.0,1920,1080,59.93529919222022,cfr
60,1.0010795108834325,464.324462890625,427.3647766113281,694.4190063476562,659.2595825195312,579.3717346191406,543.3121795654297,0.6499173045158386,32.0,1920,1080,59.93529919222022,cfr
61,1.0177641693981563,486.8421936035156,430.1183166503906,716.4240112304688,661.047607421875,601.6331024169922,545.5829620361328,0.6749276518821716,32.0,1920,1080,59.93529919222022,cfr
62,1.03444882791288,509.7115173339844,432.7050476074219,737.830078125,662.9703369140625,623.7707977294922,547.8376922607422,0.6513599157333374,32.0,1920,1080,59.93529919222022,cfr
63,1.051133486427604,533.7249755859375,433.7923278808594,760.5385131835938,665.2588500976562,647.1317443847656,549.5255889892578,0.8722764253616333,32.0,1920,1080,59.93529919222022,cfr
64,1.0678181449423279,556.564697265625,434.5404968261719,783.9505615234375,665.5924682617188,670.2576293945312,550.0664825439453,0.7891127467155457,32.0,1920,1080,59.93529919222022,cfr
65,1.0845028034570519,581.2948608398438,436.1877136230469,809.6693115234375,666.9093627929688,695.4820861816406,551.5485382080078,0.8696929812431335,32.0,1920,1080,59.93529919222022,cfr
66,1.1011874619717756,606.1696166992188,436.7959899902344,832.97021484375,668.39453125,719.5699157714844,552.5952606201172,0.8532681465148926,32.0,1920,1080,59.93529919222022,cfr
67,1.1178721204864994,631.58935546875,437.5300598144531,859.0669555664062,668.2978515625,745.3281555175781,552.9139556884766,0.8744540810585022,32.0,1920,1080,59.93529919222022,cfr
68,1.1345567790012234,656.6712646484375,437.5313415527344,884.9046020507812,670.1534423828125,770.7879333496094,553.8423919677734,0.8584575057029724,32.0,1920,1080,59.93529919222022,cfr
69,1.1512414375159472,683.8326416015625,438.1985778808594,910.7437133789062,670.6498413085938,797.2881774902344,554.4242095947266,0.8353011012077332,32.0,1920,1080,59.93529919222022,cfr
70,1.1679260960306712,709.9412841796875,438.2624816894531,937.871337890625,671.6571044921875,823.9063110351562,554.9597930908203,0.8620211482048035,32.0,1920,1080,59.93529919222022,cfr
71,1.184610754545395,735.7474365234375,438.85675048828125,964.8365478515625,671.5274047851562,850.2919921875,555.1920776367188,0.7609533071517944,32.0,1920,1080,59.93529919222022,cfr
72,1.2012954130601188,762.046875,438.82489013671875,992.4964599609375,671.7515258789062,877.2716674804688,555.2882080078125,0.8051061034202576,32.0,1920,1080,59.93529919222022,cfr
73,1.2179800715748428,788.1060791015625,439.2378845214844,1018.6452026367188,672.5535278320312,903.3756408691406,555.8957061767578,0.5627045631408691,32.0,1920,1080,59.93529919222022,cfr
74,1.2346647300895666,813.7698364257812,439.64337158203125,1045.021240234375,673.791015625,929.3955383300781,556.7171936035156,0.8210462331771851,32.0,1920,1080,59.93529919222022,cfr
75,1.2513493886042906,841.4930419921875,439.41998291015625,1073.0570068359375,673.8583984375,957.2750244140625,556.6391906738281,0.7787503004074097,32.0,1920,1080,59.93529919222022,cfr
76,1.2680340471190144,868.4940185546875,439.80523681640625,1101.1002197265625,673.7464599609375,984.797119140625,556.7758483886719,0.7150508761405945,32.0,1920,1080,59.93529919222022,cfr
77,1.2847187056337384,895.2398071289062,439.68585205078125,1128.84423828125,673.9559326171875,1012.0420227050781,556.8208923339844,0.5219451785087585,32.0,1920,1080,59.93529919222022,cfr
78,1.3014033641484621,922.1934814453125,440.2321472167969,1156.0228271484375,673.8089599609375,1039.108154296875,557.0205535888672,0.5920543670654297,32.0,1920,1080,59.93529919222022,cfr
79,1.318088022663186,947.63671875,440.00042724609375,1185.921142578125,674.0879516601562,1066.7789306640625,557.044189453125,0.525452733039856,32.0,1920,1080,59.93529919222022,cfr
80,1.33477268117791,975.5033569335938,439.7076416015625,1212.1737060546875,673.3681640625,1093.8385314941406,556.5379028320312,0.4848484992980957,29.0,1920,1080,59.93529919222022,cfr
81,1.3514573396926337,1000.41162109375,438.5990295410156,1237.992431640625,672.4667358398438,1119.2020263671875,555.5328826904297,0.559860348701477,29.0,1920,1080,59.93529919222022,cfr
82,1.3681419982073577,1027.486083984375,437.1289978027344,1263.7738037109375,670.46533203125,1145.6299438476562,553.7971649169922,0.48754775524139404,32.0,1920,1080,59.93529919222022,cfr
83,1.3848266567220815,1052.208984375,435.9064636230469,1293.778076171875,671.3676147460938,1172.9935302734375,553.6370391845703,0.6760703921318054,29.0,1920,1080,59.93529919222022,cfr
84,1.4015113152368053,1079.11376953125,433.9056701660156,1317.3011474609375,669.5046997070312,1198.2074584960938,551.7051849365234,0.5846830010414124,32.0,1920,1080,59.93529919222022,cfr
85,1.4181959737515293,1103.5286865234375,432.7332458496094,1343.8883056640625,666.6143798828125,1223.70849609375,549.6738128662109,0.6206527352333069,32.0,1920,1080,59.93529919222022,cfr
86,1.434880632266253,1129.6234130859375,430.2927551269531,1369.4508056640625,664.8717041015625,1249.537109375,547.5822296142578,0.809226393699646,32.0,1920,1080,59.93529919222022,cfr
87,1.451565290780977,1152.544189453125,424.9573974609375,1394.4774169921875,663.2455444335938,1273.5108032226562,544.1014709472656,0.5390035510063171,32.0,1920,1080,59.93529919222022,cfr
