frame_idx,pred_cx,pred_cy,angle,direction,speed_px
30,657.6429443359375,253.25759887695312,141.3837852557486,SOL (LEFT),9.717191660498319
31,653.5791625976562,258.9733581542969,134.66012859309055,ASAGI (DOWN),16.115706280320172
32,648.7177734375,266.189697265625,132.30401155631964,ASAGI (DOWN),23.246369386289665
33,642.797607421875,274.9228820800781,130.92055602991425,ASAGI (DOWN),30.74596893748796
34,635.0126953125,285.2061767578125,130.47851512092979,ASAGI (DOWN),39.048656948015974
35,624.55615234375,296.90478515625,132.29628458478518,ASAGI (DOWN),48.19668714273391
36,609.6917114257812,310.11810302734375,134.906971192996,ASAGI (DOWN),59.993195303262276
37,590.2429809570312,324.0284729003906,139.56140263309928,SOL (LEFT),72.93963194764025
38,564.18896484375,338.56536865234375,144.75092279431055,SOL (LEFT),89.45286443174847
39,532.451904296875,352.51776123046875,150.31922407830422,SOL (LEFT),106.54902652524692
40,497.49444580078125,364.46820068359375,155.74153422402037,SOL (LEFT),122.81571452941851
41,463.21337890625,371.53265380859375,161.5928409212739,SOL (LEFT),133.15089734968532
42,425.14886474609375,370.1886291503906,169.36463421818507,SOL (LEFT),140.89495675552243
43,379.37103271484375,359.10211181640625,179.8095805401301,SOL (LEFT),151.45199303155323
44,340.93756103515625,343.6932678222656,-170.64184273151687,SOL (LEFT),153.54155036903828
45,315.67742919921875,328.3350830078125,-160.02448137998687,SOL (LEFT),142.85254515311172
46,295.93463134765625,314.04742431640625,-153.89830293105427,SOL (LEFT),123.22545282255716
47,278.6650390625,299.4801025390625,-146.50480113074846,SOL (LEFT),107.25112794485183
48,264.4610595703125,285.31488037109375,-140.27420415455063,SOL (LEFT),91.6942427874573
49,254.80458068847656,273.16217041015625,-133.7822224997342,YUKARI (UP),78.34510325540825
50,249.05001831054688,265.0042419433594,-129.73259557823297,YUKARI (UP),63.56995803545972
51,244.65269470214844,259.2161865234375,-125.55010859242428,YUKARI (UP),48.90735310562146
52,240.73658752441406,254.4582977294922,-123.0951921871187,YUKARI (UP),39.30227934479769
53,237.38400268554688,250.701904296875,-120.52553968337645,YUKARI (UP),30.542834975076502
54,234.72113037109375,247.88934326171875,-122.48820340225947,YUKARI (UP),23.579357509217264
55,233.08349609375,246.08950805664062,-121.2082182972627,YUKARI (UP),17.603467064145082
56,232.4903564453125,245.44187927246094,-119.44399486000279,YUKARI (UP),11.595526309269228
57,232.93914794921875,245.8450927734375,-117.63375874766,YUKARI (UP),7.82755518607953
58,234.35191345214844,247.4627685546875,-106.9572832887936,DURGUN,1.7650805825162004
59,236.6541748046875,249.96060180664062,38.80646227702713,SAG (RIGHT),3.353520575557821
60,239.7915496826172,253.64210510253906,45.171832278792,ASAGI (DOWN),8.897084631452573
61,243.82505798339844,258.6791687011719,47.0680134745891,ASAGI (DOWN),14.767224354708878
62,248.9678497314453,265.3348083496094,48.975346073872025,ASAGI (DOWN),21.477255237373317
63,255.4868927001953,273.802490234375,48.112446297635735,ASAGI (DOWN),28.330080092278866
64,263.7013244628906,284.47332763671875,48.46005571269576,ASAGI (DOWN),38.578198339260204
65,274.2852783203125,297.09783935546875,48.223790958822036,ASAGI (DOWN),48.227890705485194
66,288.65899658203125,311.7745361328125,46.737872347928715,ASAGI (DOWN),60.23142279390311
67,308.9925537109375,327.7125244140625,42.05089590136901,SAG (RIGHT),76.00006722232898
68,336.996826171875,343.18280029296875,36.50453867682579,SAG (RIGHT),93.5217561449876
69,372.99176025390625,356.30438232421875,29.922368523786545,SAG (RIGHT),115.16166325413226
70,414.70654296875,365.21221923828125,22.221138409492912,SAG (RIGHT),135.53886900641393
71,459.52166748046875,369.0006103515625,14.756498713577228,SAG (RIGHT),155.65123105379598
72,504.67877197265625,366.1844482421875,7.6141661920077075,SAG (RIGHT),171.00940936828596
73,546.4554443359375,356.07916259765625,-0.7455030746598732,SAG (RIGHT),178.41869778406723
74,580.6969604492188,340.32904052734375,-9.111512567029731,SAG (RIGHT),176.36069384114126
75,605.3662719726562,321.869873046875,-19.202464995677477,SAG (RIGHT),164.50503554881527
76,620.5130004882812,305.35888671875,-26.18254104199409,SAG (RIGHT),142.7382142828218
