frame,t,x1,y1,x2,y2,cx,cy,conf,cls,width,height,fps,time_mode
49,1.6333333333333333,123.22845458984375,166.26258850097656,207.65830993652344,250.00485229492188,165.4433822631836,208.13372039794922,0.9710039496421814,0,768,432,30.0,cfr
50,1.6666666666666667,123.12538146972656,166.12826538085938,207.5061798095703,249.95201110839844,165.31578063964844,208.0401382446289,0.9707876443862915,0,768,432,30.0,cfr
51,1.7,123.25469207763672,166.2157440185547,207.56634521484375,249.93846130371094,165.41051864624023,208.0771026611328,0.971935510635376,0,768,432,30.0,cfr
52,1.7333333333333334,123.47442626953125,166.46334838867188,207.890625,250.23468017578125,165.68252563476562,208.34901428222656,0.9712382555007935,0,768,432,30.0,cfr
53,1.7666666666666666,124.20128631591797,166.72921752929688,208.50344848632812,250.46876525878906,166.35236740112305,208.59899139404297,0.9705802798271179,0,768,432,30.0,cfr
54,1.8,125.22821044921875,167.3503875732422,209.1376953125,250.75140380859375,167.18295288085938,209.05089569091797,0.9650578498840332,0,768,432,30.0,cfr
55,1.8333333333333333,126.36824798583984,167.60009765625,210.3993377685547,250.9003143310547,168.38379287719727,209.25020599365234,0.9704380035400391,0,768,432,30.0,cfr
56,1.8666666666666667,127.4936752319336,168.55661010742188,212.05287170410156,252.21669006347656,169.77327346801758,210.38665008544922,0.9704252481460571,0,768,432,30.0,cfr
57,1.9,129.3555908203125,168.97576904296875,213.57400512695312,253.60279846191406,171.4647979736328,211.2892837524414,0.9689134955406189,0,768,432,30.0,cfr
58,1.9333333333333333,131.31468200683594,170.23477172851562,215.12857055664062,254.25271606445312,173.22162628173828,212.24374389648438,0.968848705291748,0,768,432,30.0,cfr
59,1.9666666666666666,133.04318237304688,171.66302490234375,217.0111846923828,254.92965698242188,175.02718353271484,213.2963409423828,0.971906304359436,0,768,432,30.0,cfr
60,2.0,134.89540100097656,172.40057373046875,219.39794921875,256.0143737792969,177.14667510986328,214.2074737548828,0.9702321887016296,0,768,432,30.0,cfr
61,2.033333333333333,137.79214477539062,173.71597290039062,221.9227752685547,257.49786376953125,179.85746002197266,215.60691833496094,0.9691672921180725,0,768,432,30.0,cfr
62,2.066666666666667,140.1019744873047,175.6189727783203,224.43443298339844,259.2171936035156,182.26820373535156,217.41808319091797,0.9745307564735413,0,768,432,30.0,cfr
63,2.1,143.245361328125,176.7612762451172,227.29443359375,260.34759521484375,185.2698974609375,218.55443572998047,0.9712834358215332,0,768,432,30.0,cfr
