frame_idx,x_pred,y_pred,dx,dir_label
145,1.6700855493545532,0.1416176855564117,-0.00015425682067893298,DURAGAN
146,1.6699312925338743,0.1466569900512695,0.00044250488281272204,DURAGAN
147,1.670373797416687,0.15119269490242,0.000596165657043457,DURAGAN
148,1.6709699630737305,0.1551105827093124,0.0004870891571044922,DURAGAN
149,1.671457052230835,0.1582060754299163,0.0005056858062744141,DURAGAN
150,1.6719627380371094,0.1601887047290802,0.001701354980468528,DURAGAN
151,1.673664093017578,0.1587394475936889,0.008217811584472878,DURAGAN
152,1.6818819046020508,0.1396529376506805,0.018246054649353027,DURAGAN
153,1.7001279592514038,0.0992297232151031,0.01990354061126709,DURAGAN
154,1.720031499862671,0.0727953091263771,0.014865517616271973,DURAGAN
155,1.7348970174789429,0.0581132248044014,0.008476018905639426,DURAGAN
156,1.7433730363845823,0.047399453818798,0.003278374671936257,DURAGAN
157,1.7466514110565186,0.0384655222296714,-0.0003787279129030541,DURAGAN
158,1.7462726831436155,0.0308782085776329,-0.0020203590393064186,DURAGAN
159,1.744252324104309,0.0254976078867912,-0.0008401870727539062,DURAGAN
160,1.7434121370315552,0.0256540104746818,0.0011763572692873314,DURAGAN
161,1.7445884943008425,0.036062441766262,-0.000961899757385476,DURAGAN
162,1.743626594543457,0.0564984157681465,-0.0048247575759885475,DURAGAN
163,1.7388018369674685,0.0811008587479591,-0.007894396781921609,DURAGAN
164,1.7309074401855469,0.1027478799223899,-0.008802533149719238,DURAGAN
165,1.7221049070358276,0.1199240237474441,-0.008669257164001465,DURAGAN
166,1.7134356498718262,0.1335494220256805,-0.008672595024108887,DURAGAN
167,1.7047630548477173,0.145017072558403,-0.008100509643554688,DURAGAN
168,1.6966625452041626,0.1565558314323425,-0.008555173873901367,DURAGAN
169,1.6881073713302612,0.1751788258552551,-0.08925032615661621,DURAGAN
170,1.598857045173645,0.3337410092353821,-0.07218599319458008,DURAGAN
171,1.526671051979065,0.4689399003982544,-0.05112409591674805,DURAGAN
172,1.475546956062317,0.5660505294799805,-0.035935640335082786,DURAGAN
173,1.439611315727234,0.6359282732009888,-0.02553081512451194,DURAGAN
174,1.4140805006027222,0.6862637996673584,-0.021263360977173074,DURAGAN
175,1.392817139625549,0.7233510613441467,-0.028986811637878196,DURAGAN
176,1.363830327987671,0.751952052116394,-0.04205071926116921,DURAGAN
177,1.3217796087265017,0.7735936641693115,-0.036052107810974565,DURAGAN
178,1.2857275009155271,0.7923984527587891,-0.024147868156432883,DURAGAN
179,1.2615796327590942,0.8141824007034302,-0.01758730411529541,DURAGAN
180,1.2439923286437988,0.8409615755081177,-0.015713095664978027,DURAGAN
181,1.2282792329788208,0.8729782700538635,-0.0216829776763916,DURAGAN
182,1.2065962553024292,0.9195184707641602,-0.03667712211608887,DURAGAN
183,1.1699191331863403,0.9969173073768616,-0.05818033218383789,DURAGAN
184,1.1117388010025024,1.10524582862854,-0.10639357566833474,DURAGAN
185,1.0053452253341677,1.2495771646499634,-0.08643013238906894,DURAGAN
186,0.9189150929450988,1.413623929023743,-0.06355249881744374,DURAGAN
187,0.855362594127655,1.5608599185943604,-0.0844072699546814,DURAGAN
188,0.7709553241729736,1.6511073112487793,-0.050142884254455566,DURAGAN
189,0.7208124399185181,1.6919559240341189,-0.023796439170837402,DURAGAN
190,0.6970160007476807,1.695759892463684,-0.003579080104827881,DURAGAN
191,0.6934369206428528,1.6640232801437378,0.0038407444953918457,DURAGAN
192,0.6972776651382446,1.6231896877288818,0.005583345890045166,DURAGAN
193,0.7028610110282898,1.586689591407776,0.0029566287994384766,DURAGAN
194,0.7058176398277283,1.5804404020309448,-0.02145862579345703,DURAGAN
195,0.6843590140342712,1.734479904174805,-0.04056048393249512,DURAGAN
196,0.6437985301017761,1.8512924909591677,-0.03469038009643555,DURAGAN
197,0.6091081500053406,1.9097665548324585,-0.01825195550918579,DURAGAN
198,0.5908561944961548,1.9378012418746948,-0.0006719231605529785,DURAGAN
199,0.5901842713356018,1.949751853942871,0.008391857147216797,DURAGAN
200,0.5985761284828186,1.9550881385803225,0.007965505123138428,DURAGAN
201,0.606541633605957,1.9600050449371336,0.003508269786834717,DURAGAN
202,0.6100499033927917,1.9677780866622925,0.0005627870559692383,DURAGAN
203,0.610612690448761,1.9801493883132932,0.002224862575531006,DURAGAN
204,0.612837553024292,1.9996006488800049,-0.005167245864868164,DURAGAN
205,0.6076703071594238,2.0440170764923096,-0.022295475006103516,DURAGAN
206,0.5853748321533203,2.104749917984009,-0.02750343084335327,DURAGAN
207,0.557871401309967,2.1476564407348637,-0.014227986335754395,DURAGAN
208,0.5436434149742126,2.163893222808838,-0.0022854208946228027,DURAGAN
209,0.5413579940795898,2.163555383682251,0.003392159938812256,DURAGAN
210,0.5447501540184021,2.1509153842926025,0.006658315658569336,DURAGAN
211,0.5514084696769714,2.1320555210113525,0.0127793550491333,DURAGAN
212,0.5641878247261047,2.10412335395813,0.015160441398620605,DURAGAN
213,0.5793482661247253,2.0645523071289062,0.016032099723815918,DURAGAN
214,0.5953803658485413,2.0254480838775635,0.015686213970184326,DURAGAN
215,0.6110665798187256,1.9956694841384888,0.01419740915298462,DURAGAN
216,0.6252639889717102,1.974362134933472,0.022197723388671875,DURAGAN
217,0.6474617123603821,1.9515327215194704,0.0693519115447998,DURAGAN
218,0.7168136239051819,1.879173994064331,0.055425167083740234,DURAGAN
219,0.7722387909889221,1.819279432296753,0.06438285112380981,DURAGAN
220,0.8366216421127319,1.7473292350769043,0.10224401950836182,DURAGAN
221,0.9388656616210938,1.6101495027542114,0.06354391574859619,DURAGAN
222,1.00240957736969,1.5223548412322998,0.045137643814086914,DURAGAN
223,1.0475472211837769,1.433118462562561,0.06341922283172607,DURAGAN
224,1.110966444015503,1.1919081211090088,0.05506312847137451,DURAGAN
225,1.1660295724868774,1.0060535669326782,0.031803131103515625,DURAGAN
226,1.197832703590393,0.9020572304725648,0.014806509017944336,DURAGAN
227,1.2126392126083374,0.8400464653968811,0.007664442062377708,DURAGAN
228,1.220303654670715,0.7936632633209229,0.012821316719055398,DURAGAN
229,1.2331249713897705,0.736501932144165,0.11128675937652588,DURAGAN
230,1.3444117307662964,0.4738107919692993,0.13863778114318848,DURAGAN
231,1.4830495119094849,0.1632387936115265,0.136407732963562,DURAGAN
232,1.6194572448730469,0.0122009441256523,0.0855555534362793,DURAGAN
233,1.7050127983093262,-0.0516313686966896,0.04380989074707031,DURAGAN
234,1.7488226890563965,-0.07194434851408,0.0637274980545044,DURAGAN
235,1.8125501871109009,-0.0963025167584419,0.023435115814208762,DURAGAN
236,1.8359853029251096,-0.0969912186264991,0.00034451484680242395,DURAGAN
237,1.836329817771912,-0.0900577828288078,-0.009583711624146174,DURAGAN
238,1.826746106147766,-0.0785118415951728,-0.015389919281005415,DURAGAN
239,1.8113561868667605,-0.0450062677264213,-0.016559123992920144,DURAGAN
240,1.7947970628738403,-0.0052845701575279,-0.013528585433959961,DURAGAN
241,1.7812684774398804,0.0265643522143363,-0.009444236755371094,DURAGAN
242,1.7718242406845093,0.0534358397126197,-0.004912257194519043,DURAGAN
243,1.7669119834899902,0.0785101428627967,-0.0013594627380371094,DURAGAN
244,1.7655525207519531,0.1021317616105079,1.3947486877441406e-05,DURAGAN
245,1.7655664682388306,0.12085922062397,-0.0018000602722167969,DURAGAN
246,1.7637664079666138,0.134489506483078,-0.010011672973632812,DURAGAN
247,1.753754734992981,0.1453565061092376,-0.025544285774230957,DURAGAN
248,1.72821044921875,0.1550942361354828,-0.03111898899078369,DURAGAN
249,1.6970914602279663,0.1597278416156768,-0.020048499107360618,DURAGAN
250,1.6770429611206057,0.1553617119789123,-0.007831692695617898,DURAGAN
251,1.6692112684249878,0.1480336189270019,-0.0020284652709960938,DURAGAN
252,1.6671828031539917,0.1433526277542114,-0.00019693374633789062,DURAGAN
253,1.6669858694076538,0.1403085440397262,0.0003687143325805664,DURAGAN
254,1.6673545837402344,0.1382003128528595,0.0005105733871459961,DURAGAN
255,1.6678651571273804,0.1366064250469207,0.0005843639373779297,DURAGAN
256,1.6684495210647583,0.1351802349090576,0.0008516311645507812,DURAGAN
257,1.669301152229309,0.1332637965679168,0.0018842220306396484,DURAGAN
258,1.6711853742599487,0.12881401181221,0.005743741989135742,DURAGAN
259,1.6769291162490845,0.1143527999520301,0.01651287078857422,DURAGAN
260,1.6934419870376587,0.0703811272978782,0.027207612991333008,DURAGAN
261,1.7206496000289917,-0.0065588280558586,0.026882290840148926,DURAGAN
262,1.7475318908691406,-0.0858302488923072,0.02153623104095459,DURAGAN
263,1.7690681219100952,-0.15076944231987,0.016124367713928223,DURAGAN
264,1.7851924896240234,-0.1996714174747467,0.011783003807067871,DURAGAN
265,1.7969754934310913,-0.2349546253681183,0.008512496948241965,DURAGAN
266,1.8054879903793333,-0.259653240442276,0.006136417388916016,DURAGAN
267,1.8116244077682493,-0.2765726149082184,0.004423499107361062,DURAGAN
268,1.8160479068756104,-0.2879433333873749,0.0031882524490356445,DURAGAN
269,1.819236159324646,-0.2954404652118683,0.0022928714752195045,DURAGAN
270,1.8215290307998655,-0.3002663254737854,0.0016429424285888672,DURAGAN
271,1.8231719732284544,-0.3032794594764709,0.001164078712463601,DURAGAN
272,1.824336051940918,-0.305064707994461,0.0008031129837036133,DURAGAN
273,1.8251391649246216,-0.3060115873813629,0.0005230903625488281,DURAGAN
274,1.8256622552871704,-0.3063820600509643,0.00029659271240234375,DURAGAN
275,1.8259588479995728,-0.3063489198684692,9.942054748535156e-05,DURAGAN
276,1.826058268547058,-0.3060057461261749,-8.344650268532483e-05,DURAGAN
277,1.8259748220443728,-0.3053783476352691,-0.0002806186676027611,DURAGAN
278,1.82569420337677,-0.3043793439865112,-0.0005891323089599609,DURAGAN
279,1.82510507106781,-0.3025969266891479,-0.001220703125,DURAGAN
280,1.82388436794281,-0.2988253831863403,-0.0029627084732055664,DURAGAN
281,1.8209216594696045,-0.2890808582305908,-0.008351206779480203,DURAGAN
282,1.8125704526901243,-0.2610346972942352,-0.01844835281372048,DURAGAN
283,1.7941220998764038,-0.2008844316005706,-0.023402452468872292,DURAGAN
284,1.7707196474075315,-0.1265830397605896,-0.021286964416503684,DURAGAN
285,1.7494326829910278,-0.0613124743103981,-0.018386125564575195,DURAGAN
286,1.7310465574264526,-0.0088799521327018,-0.015494227409362793,DURAGAN
287,1.7155523300170898,0.0318318828940391,-0.012727141380310059,DURAGAN
288,1.7028251886367798,0.0628675445914268,-0.010186195373535156,DURAGAN
289,1.6926389932632446,0.0861928388476371,-0.007946968078613503,DURAGAN
290,1.6846920251846311,0.1034984961152076,-0.006037235260009544,DURAGAN
291,1.6786547899246216,0.116201139986515,-0.00443577766418457,DURAGAN
292,1.674219012260437,0.1254585832357406,-0.003094792366027832,DURAGAN
293,1.6711242198944092,0.1322217285633087,-0.0019698143005371094,DURAGAN
294,1.669154405593872,0.1372589170932769,-0.0009821653366088867,DURAGAN
