frame,t,cx,cy,cx_smooth,cy_smooth,speed_px_s,ax_px_s2,ay_px_s2
41,0.6840709991036789,316.87718963623047,516.9925231933594,319.85332950726865,517.5829360841817,7.326736333200362,4159.852245648002,979.9603541898433
42,0.7007556576184026,322.40425872802734,517.9642639160156,320.3635153514204,517.6592016505485,61.23697025008904,3836.8185612092834,748.5781189592337
43,0.7174403161331265,327.8133773803711,519.3695068359375,321.85348775721053,518.0012626876264,123.16078285080815,3674.5079894293294,594.8967577031974
44,0.7341249746478504,334.59608459472656,520.1020202636719,324.40200712471375,518.4214142028355,185.40657379999237,3895.103831209899,505.226042266666
45,0.7508096331625743,342.1182327270508,521.7244110107422,327.94525224518117,519.0820135644169,254.12139516192187,4124.453349942446,321.8157280679761
46,0.7674942916772982,352.1076965332031,522.4029541015625,332.77774110278557,519.746201671846,323.0773754974965,4092.3374428171965,233.61156642016613
47,0.7841789501920221,362.0372467041016,523.6207427978516,338.6296422230488,520.5211098970472,390.45910025485335,4111.740934881584,184.00333637739755
48,0.8008636087067459,374.0331268310547,524.5711517333984,345.71033914465,521.3311182643174,460.0376703095577,3969.2549898352027,192.6373585854294
49,0.8175482672214698,386.62115478515625,525.5010070800781,353.89250227275124,522.1650960274696,522.7993608118959,3562.703339138521,429.9328199304932
50,0.8342329257361937,399.7437286376953,526.9923095703125,363.0627475457401,523.1305387360383,579.777381360884,3455.4816559564515,464.01190388621353
51,0.8509175842509176,413.3613739013672,528.9169311523438,373.1224728168655,524.2878172192993,639.0981146251377,3760.9090995882434,89.76823358427168
52,0.8676022427656415,428.82447814941406,530.0819396972656,384.2628738833752,525.4466417148926,704.9299427904728,3787.900138570065,-160.24820100357442
53,0.8842869012803652,445.64979553222656,530.7659149169922,396.54025821314553,526.5104963553126,764.4066221403876,3395.400913811849,23.59298685309568
54,0.9009715597950892,462.2433166503906,531.8795471191406,409.6808699005946,527.5843065080783,817.8598008754674,3094.6389299645307,197.89167035897322
55,0.917656218309813,479.9708251953125,533.4600067138672,423.7388609595382,528.7594465492361,867.8652237559645,3180.9848010835412,300.3508689910482
56,0.9343408768245368,497.7684631347656,534.6738433837891,438.5447813945837,529.9423259161467,924.4728140310527,3348.029190720743,572.0953465655634
57,0.9510255353392608,518.218505859375,536.9449005126953,454.479526287542,531.3428408354565,980.8203879053922,2982.143480973791,531.8331012387525
58,0.9677101938539848,537.7657012939453,539.3155364990234,471.1367612888227,532.9373799681699,1025.164187588739,2674.6737093174925,309.6077487417442
59,0.9843948523687084,558.1571655273438,540.8426666259766,488.540842136527,534.5184372997312,1070.6454615244297,2775.0764195804877,399.01457482405203
60,1.0010795108834325,579.3717346191406,543.3121795654297,506.7070206330497,536.2771857528709,1118.6124571859102,2721.7228139020262,414.20299400703743
61,1.0177641693981565,601.6331024169922,545.5829620361328,525.6922369898382,538.1383410095233,1162.3738091019734,2540.6803646416884,188.09156474136807
62,1.03444882791288,623.7707977294922,547.8376922607422,545.307949137769,540.0782112597672,1203.6039165482373,2407.5325866747444,-262.04566434136086
63,1.051133486427604,647.1317443847656,549.5255889892578,565.6727081871684,541.9676868056654,1241.5785861370287,2438.2255917716466,-554.433697267305
64,1.067818144942328,670.2576293945312,550.0664825439453,586.589692428641,543.5874459533214,1283.0982111791325,2458.066057744596,-389.6655490042581
65,1.084502803457052,695.4820861816406,551.5485382080078,608.368171179241,545.1796644042588,1322.3562465245298,2235.103467617606,-429.83303271422074
66,1.1011874619717756,719.5699157714844,552.5952606201172,630.6085200976897,546.6627836474305,1356.5418641270742,2130.374975103354,-574.0655640937653
67,1.1178721204864994,745.3281555175781,552.9139556884766,653.5524471816675,547.9130180556397,1392.1454654714282,2083.991250503692,-433.2380905208636
68,1.1345567790012234,770.7879333496094,553.8423919677734,676.999544415256,549.0988928380664,1425.2051491558457,2008.520488498827,-369.89157809798235
69,1.1512414375159472,797.2881774902344,554.4242095947266,701.0572710302517,550.1639561893985,1458.5149561336755,1794.2940943099966,-429.2546756431286
70,1.1679260960306712,823.9063110351562,554.9597930908203,725.6270790312326,551.1231235696829,1484.4334375894089,1479.795625549952,-485.1151344776847
71,1.184610754545395,850.2919921875,555.1920776367188,750.5600616624862,551.9369143830901,1507.2889388055235,1198.1756423970583,-399.63029329367464
72,1.2012954130601188,877.2716674804688,555.2882080078125,775.9023828260828,552.6071731080345,1523.984274239032,735.5547975613808,-122.02852897810908
73,1.2179800715748428,903.3756408691406,555.8957061767578,801.3970344346944,553.2648797217793,1531.7105700712893,734.9596119537018,-90.46421485050564
74,1.2346647300895666,929.395538330078,556.7171936035156,826.9967352137712,553.9553424981266,1548.426503995983,1176.68374569538,-318.4992355403564
75,1.2513493886042906,957.2750244140624,556.6391906738281,853.0523930538295,554.4921121332669,1570.7249866695126,1097.1810202039997,-355.7023298431337
76,1.2680340471190144,984.797119140625,556.7758483886719,879.4013382711887,554.9488593843479,1584.7976134032588,681.86972523656,-251.14497589829284
77,1.2847187056337384,1012.042022705078,556.8208923339844,905.9294751579666,555.3232659742753,1593.3399295681893,540.0911953382965,-193.44493695384858
78,1.301403364148462,1039.108154296875,557.0205535888672,932.5652109857483,555.6627234971936,1602.730570504026,507.3918208122559,-285.3978109635052
79,1.318088022663186,1066.7789306640625,557.044189453125,959.4079549214111,555.9390166883799,1610.1713747839385,-9.675000575829472,-539.8739289367
80,1.33477268117791,1093.8385314941406,556.5379028320312,986.2940702359571,556.0587939171102,1602.301554017154,-535.6133670922281,-837.4787038866621
81,1.3514573396926337,1119.2020263671875,555.5328826904297,1012.8756614622032,555.9536116717741,1592.3357355594167,-182.70815338756074,-739.0503783388104
82,1.3681419982073575,1145.6299438476562,553.7971649169922,1039.426517939294,555.5223223208177,1596.3884526197478,-4.973113806263427,-474.7155896313492
83,1.3848266567220815,1172.9935302734375,553.6370391845703,1066.1399204061227,555.1452656935683,1592.4085320490356,-556.5616634670878,-751.0992426507061
84,1.4015113152368053,1198.2074584960938,551.7051849365234,1092.553428024117,554.4572495421594,1578.402296115422,-669.38064371582,-965.6669462757183
85,1.4181959737515293,1223.70849609375,549.6738128662109,1118.7844416380435,553.5005622069697,1571.061739226467,-699.4289719266235,-1061.5500354546605
86,1.434880632266253,1249.537109375,547.5822296142578,1144.934975185435,552.3168956884274,1556.5998219021449,-933.6434981163038,-992.6835205145856
87,1.451565290780977,1273.5108032226562,544.1014709472656,1170.6501407928793,550.673810740195,1541.6682225584111,-953.2537357488836,-274.3063291900926
88,1.4682499492957009,1298.783935546875,542.66064453125,1196.2768997436785,549.071177498406,1525.3744061124726,-1196.778613402159,10.274458774557843
89,1.4849346078104246,1322.164306640625,541.4233703613281,1221.4543811230678,547.5416160709905,1501.7920476442061,-1456.4096831496936,-212.88605541791503
90,1.5016192663251486,1345.6134643554688,539.0180358886719,1246.2861977695482,545.8369000345268,1477.3386446677187,-1481.224703104759,55.510716208285885
91,1.5183039248398724,1368.0396728515625,537.5142517089844,1270.6368927859512,544.1723703694183,1452.348708025554,-1702.7565314532403,300.287710916743
92,1.5349885833545964,1390.68310546875,536.6326904296875,1294.6461353225109,542.6644343814721,1419.9799996829556,-2082.3086026748497,38.39961995618751
93,1.5516732418693202,1411.0322875976562,535.0297546386719,1317.92336577754,541.137498432912,1382.932513142852,-2144.793956296802,-19.163087439978426
94,1.5683579003840442,1431.7435302734375,533.1236419677734,1340.6873986767196,539.5347271398844,1348.6077078479273,-2105.1735646039524,159.8855131615942
95,1.585042558898768,1451.3583374023438,532.2675323486328,1362.8215864218444,538.0812881816341,1312.4843315288515,-2043.647889425396,172.51816084394932
96,1.6017272174134918,1470.6362915039062,530.5901184082031,1384.3845274382568,536.583054226948,1280.1795403962158,-2398.68591108486,-53.54676075258885
97,1.6184118759282158,1489.6828002929688,529.7536773681641,1405.4441820091993,535.2171788551913,1232.7651226219314,-2944.657810019191,-491.0507025763477
98,1.6350965344429396,1505.2767333984375,526.9900665283203,1425.410692287047,533.5717563898171,1183.4603300101458,-2578.081612182752,-433.7476784339474
99,1.6517811929576636,1522.2965698242188,524.7443695068359,1444.7878677944814,531.8062790132209,1148.213822889079,-2501.8043211704644,-242.41175202568593
100,1.6684658514723874,1538.67919921875,523.1622619628906,1463.5661340793351,530.0774756031549,1101.0933474090928,-3056.4337675761853,-296.66036437864204
101,1.6851505099871111,1552.4642944335938,520.3173522949219,1481.3457661501868,528.1254509415083,1047.7257437240244,-3087.4155995996116,-313.4172819799119
102,1.7018351685018351,1566.2079467773438,518.7624969482422,1498.3182022756182,526.2528601428551,999.8492384300375,-2962.6486381629365,-343.7518833150407
103,1.718519827016559,1579.05615234375,515.4667053222656,1514.4657922892445,524.0956291787372,950.9718836023831,-3173.3410757528472,162.58624195324592
104,1.735204485531283,1590.9934692382812,513.8448486328125,1529.7713276790519,522.0454730695524,894.1076175425752,-3464.3368274502354,575.0373440967269
105,1.7518891440460067,1601.176025390625,513.0523529052734,1544.0522672213667,520.2468490366966,833.8539594239874,-3320.6322885953014,424.12172582535504
106,1.7685738025607305,1610.6253051757812,511.4045867919922,1557.3668748122498,518.4783965877558,782.4005760492693,-3031.231022316697,476.1632847570654
107,1.7852584610754545,1620.2384033203125,510.4380798339844,1569.9411805138623,516.8703332370015,731.5068416971475,-3341.747115534934,590.966717680556
108,1.8019431195901785,1628.1708374023438,509.72633361816406,1581.5871118915586,515.441533313234,669.2945630652639,-3629.2747137382576,608.7677478239611
109,1.8186277781049025,1634.1966552734375,508.9931945800781,1592.1090205679345,514.1518655666029,608.8352917616033,-3616.5180172254877,672.8584674033725
110,1.835312436619626,1640.3944702148438,508.8052368164063,1601.7661104973165,513.0825398165636,546.8309682328135,-3825.609445738297,751.8199481129336
111,1.8519970951343496,1644.1846923828125,508.5830078125,1610.2498268744157,512.1826334157508,479.2341311439405,-3866.4394208555987,766.4163855630994
