epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,2690.26,0.11447,0.1267,0.77293,0.99482,1,0.995,0.995,0.07209,0.08387,0.75275,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
42,2751.87,0.11986,0.12309,0.78049,0.9948,1,0.995,0.995,0.07544,0.07968,0.75227,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
43,2812.45,0.11768,0.12285,0.76126,1,1,0.995,0.995,0.081,0.08944,0.75184,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
44,2877.15,0.11307,0.11634,0.76692,1,1,0.995,0.995,0.08543,0.08887,0.75208,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
45,2937.53,0.10469,0.11634,0.75756,1,1,0.995,0.995,0.08131,0.08868,0.75148,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
46,3000.93,0.10321,0.10677,0.76429,1,1,0.995,0.995,0.07684,0.08558,0.75122,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
47,3059.87,0.12003,0.11875,0.71815,1,1,0.995,0.995,0.07148,0.0807,0.75135,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
48,3120.08,0.11068,0.1149,0.79803,1,1,0.995,0.995,0.06685,0.07497,0.75174,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
49,3184.69,0.10743,0.10846,0.75792,1,1,0.995,0.995,0.06623,0.07038,0.75171,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
50,3250.72,0.10524,0.11621,0.74044,1,1,0.995,0.995,0.06505,0.07002,0.75159,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
